championName,magicDamageDealtToChampions rate,teamDamagePercentage,damageTakenOnTeamPercentage,totalTimeCCDealt per minute,enemyChampionImmobilizations per minute,killParticipation,soloKills per minute,totalHeal per minute,effectiveHealAndShielding per minute,survivedThreeImmobilizesInFight per minute,twentyMinionsIn3SecondsCount per minute,soloTurretsLategame,turretPlatesTaken,version
Alistar,0.25459641756541673,-0.4740360924777849,0.8328317077953082,-0.20396828398661596,1.2641197987768955,-0.004994949024631892,-0.18407698609712358,1.001998609965495,0.37337929326380265,0.39289669865515536,-0.054921054530016764,-0.033122775309187225,-0.20221187330719523,13.16
Blitzcrank,-0.2806737473292809,-0.20641570956773717,0.5036090517553187,0.29092025970238833,0.407676177248157,-0.2981982155046784,-0.030103068619008626,-0.4798471748639145,-0.6196740756686562,0.11725808225251816,0.0023574719564925586,-0.03276913364799139,-0.294851813743784,13.16
Brand,0.9568043713555014,1.534364110534032,-0.009965116946422985,-0.5180967986033914,-0.8751777825796302,-0.6577663057023608,0.48284785356046195,-0.48310794271281693,-0.6522224172385189,-0.41016232430195865,0.028693485333739152,0.6458313595864599,0.35407422685661033,13.16
Braum,0.17345174992090498,-0.5687729627483692,0.41839836681210324,-0.24584054925081275,-0.5620304054808131,0.2821255345538005,-0.18571807697390835,-0.3690265473709829,-0.19102763486869684,0.8137042100699763,-0.366018600505529,-0.03401716603835978,-0.3839492106225567,13.16
Karma,0.665498062791845,0.49881601571117773,-0.2571946953960263,0.029581075163740214,-0.9815133267657119,0.1846103541585088,-0.026531619019727008,-0.3994846093405878,0.10853169644825456,-0.03834623104977192,-0.47862880485959847,-0.03033348896736093,0.3153998420839862,13.16
Leona,-0.7215271787293063,-0.646321004258257,0.4559570137279631,-0.49602779689475074,0.2314634319886519,-0.20761089534278726,-0.10775231162232268,-0.43780583613013363,-0.5237622297325879,0.05845915767086,0.06298453476374487,-0.03214384308345011,-0.38589266345689605,13.16
Lulu,0.24881724206803135,-0.6169520824164425,-0.6936499714690391,0.5944817271743692,-1.129471329573271,0.24625071606448162,0.06764545897425517,-0.46204290603127135,0.59569342386058,-0.1551721232233963,-0.5734781814588832,-0.0327850101662317,0.07307454608127509,13.16
Lux,0.8642227904305997,0.8731984012608358,-0.8069453814423022,0.20784228510601974,-0.6558332318406169,-0.14582493506392252,0.21800615079105504,-0.6124227621353431,-0.203561227371233,-0.3407809569128003,0.08893396662738112,-0.027783906920535336,0.6126603437296293,13.16
Maokai,0.46792355638167393,0.35074203039364904,0.7402412697953938,1.0379031684087414,1.0598325100177117,-0.1704021200739841,-0.15292512248333087,0.23334774355083418,-0.5425564872110933,0.4451078810249827,1.1202486095321202,-0.03394688263745408,-0.033521948908696975,13.16
Milio,-0.07126328487064754,-1.1910533534641121,-0.5805190032403739,-0.6270984784591201,-0.2995079892753987,0.08153632776575438,-0.2708814265177597,0.8177645067658668,1.5890643598347975,-0.18635547040772338,-0.3420044289539093,-0.03200706077245671,0.31865526167764135,13.16
Morgana,0.7702165769779553,0.3319628905162594,-0.08007091551460485,-0.7608560931929614,-0.5152221090854424,-0.104877839485971,0.1355431545954722,-0.22627627344198348,-0.4050797385041248,-0.2357194390830758,-0.07815337113863093,-0.03200706077245671,0.35407422685661033,13.16
Nami,0.611947188576585,-0.5523915042857634,-0.586584217329517,-0.09261033532720339,-0.7170894181950566,-0.07141518116562764,-0.4040921810870259,1.0866083894693817,1.008685307032175,-0.25440333265694415,-0.5562888055687416,-0.03378523081537097,0.14156043578279695,13.16
Nautilus,-0.45147112437167003,-0.33041773206490793,0.2634403394978034,1.3130028970807353,1.8703443445342147,-0.1565873719182161,-0.1649582873244218,-0.5046558551737395,-0.5721911517962249,0.06455053340495681,0.07336636429044138,-0.0305544711599352,-0.21761780265181715,13.16
Pyke,-3.1379576037176706,0.02605818101785289,0.32389379398148943,-1.022687881077501,-0.271912827430679,-0.23263319906669427,0.5470710670078116,0.03367839664151656,-0.6462882690334716,0.030215449243196697,0.4049105976454711,0.45820091830457355,0.15503504210088292,13.16
Rakan,0.02742121174764878,-0.542687841688824,0.25447791973298256,-1.0028661262538228,-0.3361987082588808,0.275995272463429,-0.252119849811632,0.5080307830979961,0.6244059488767211,0.42993698616127485,0.19764632284271513,-0.02984341330765194,-0.1565904686520548,13.16
Rell,-0.2935198637558678,-0.6415860913151559,0.32498303611608836,-0.11219929059816126,0.5404196110765098,0.50058589816575,-0.25903036607796837,-0.36783666666040943,-0.5465725043123439,0.38867228819354555,-0.2209057664188324,-0.03219929537169068,-0.2766466023945553,13.16
Senna,-3.088316504164934,0.9938947565474467,-0.24215175076359324,0.07878230950992073,-0.7070328064460356,0.10292647466124895,0.05908040634521429,1.2306144629155298,0.42938455793008223,-0.44586358015002747,0.09605338538774828,-0.030974574941087137,0.6685603612279389,13.16
Seraphine,0.5864521098482283,0.12744468520426713,-0.25947597728036426,0.3597176774569941,-0.4451216011240856,-0.17019739528937705,-0.0079433571324424,0.083289785352777,0.3456384399792394,-0.28579410845472447,-0.13425139023155097,-0.027480809754129497,-0.06370856695895458,13.16
Shaco,-0.164379398521329,1.1188186447230342,-0.32612202555096276,1.2875852923357018,0.0363817226100735,0.01145964685119532,0.5628123687805222,-0.4936979894357399,-0.6522224172385189,-0.20864020627589958,-0.0631093838223312,-0.031295792755291,-0.3631598180175098,13.16
Soraka,0.6578683231628273,-0.7265537942767286,-0.8646913524884488,0.09634605017847557,-1.1859347071189166,0.17627529428846087,-0.26141890811865554,3.486362975405723,3.1070146444999764,-0.1600374601672424,-0.6388290185446629,-0.029510056031343063,-0.0534322714524839,13.16
Swain,0.6101161724938486,1.2835782590548226,1.1518822066774759,1.5790851180505845,0.06188950734274227,-0.11628999296877017,0.4219594969321258,0.8429018157372032,-0.6158334310132411,-0.06959794378441425,0.40876973769842856,-0.03292907486878262,0.7121993192217402,13.16
Thresh,0.34201786734930145,-0.38471160161603973,0.28400024395594525,-0.3161923035053909,0.3998775320690648,0.229994184221203,-0.21216237702729623,-0.43285323926321356,-0.20894504215667,-0.04515827775179266,-0.032002819594336526,-0.03136299918210981,-0.2966446747483438,13.16
Xerath,1.0427999650413202,2.089047901742138,-0.6426459503620371,-0.09439996362466312,-0.8568563963537676,-0.042650208151373714,0.870689274958117,-0.5806195789569569,-0.6288891313178462,-0.3341183523381583,0.820825718885965,-0.03263033686997305,0.4030948049522451,13.16
Yuumi,0.7991221860750528,-0.14727980269941557,-2.2251701673712865,0.09067732225336841,-1.3305782467793743,0.30125398122057834,-0.19596554497130983,0.4756383932807008,2.0210629555667845,-0.7021795183001273,-0.6388290185446629,-0.03297697170495539,0.4917252051657849,13.16
Zyra,0.8625055428514902,1.3441557243303228,-0.5622558151177091,0.5807951277094939,-0.42166943818465175,-0.5486121121952752,0.051123268964849145,-0.4574380382837419,-0.6230578133671021,-0.3503697304055954,0.011917382586757144,-0.029339805708085316,0.37399739476978033,13.16
Alistar,0.27225584135655295,-0.5323783196387796,0.8751177542903202,-0.10059979100267605,1.2698092625049744,0.02388516902384884,-0.10748005527103119,1.169017914548959,0.5311013239443316,0.4978345859291564,-0.09580797797853094,-0.02872862399236818,-0.23432488116738506,13.17
Blitzcrank,-0.3033464152700986,-0.16850390986229308,0.5776732373228242,0.3855608816071186,0.4915416820768399,-0.08358323693880661,-0.08515453755949402,-0.4241567256152761,-0.6363008404729528,0.22321136025072263,0.023155853693459565,-0.031622801618717986,-0.26568549255248397,13.17
Brand,0.903437458311129,1.3173614145508146,0.02821654661806667,-0.737775233127177,-0.8770161728500434,-0.6313877622804636,0.23058351592134785,-0.495056201634499,-0.6643080446147759,-0.5092760571151194,0.4705230299453347,-0.030558157706167877,0.29111263312239966,13.17
Braum,0.3033710211807545,-0.5076159244502363,0.6072124934257618,-0.2842279764940215,-0.5675311366793564,-0.06040567637826674,-0.17903398182515956,-0.33214124121144145,-0.181830396572357,0.5223310329861428,-0.061826368738888346,-0.029049112881171932,-0.2470462390576695,13.17
Heimerdinger,0.9275955852997038,1.6963921118323224,0.052845450259684415,-0.09900611109838155,-0.9318001976015627,-0.3311759425991941,0.2518431109462919,-0.5644165409358376,-0.6604962419268595,-0.24463798901443265,0.17747646319581048,0.7016566356396902,0.7489037342207573,13.17
Karma,0.6798916812193303,0.4609893094145113,-0.24008665130861148,0.008847442083703583,-0.958315292227374,-0.06352518117597122,0.05762852122301761,-0.40005728836987625,0.10950546490775975,-0.0925559442656389,-0.46336452983069,-0.03192024613105521,0.4355829875852999,13.17
