championName,magicDamageDealtToChampions rate,teamDamagePercentage,damageTakenOnTeamPercentage,totalTimeCCDealt per minute,enemyChampionImmobilizations per minute,killParticipation,soloKills per minute,totalHeal per minute,effectiveHealAndShielding per minute,survivedThreeImmobilizesInFight per minute,twentyMinionsIn3SecondsCount per minute,soloTurretsLategame,turretPlatesTaken,version
Aatrox,-0.9077126600139974,0.14643881041395526,0.3780895448290487,-0.18802863549040244,0.8573292259701613,0.01905130018472917,0.010606866569583193,0.5515525689599348,-0.24540757828491097,0.017109504332702457,-0.12419982858139984,-0.23968408960969342,-0.06391941983685293,13.16
Akali,1.8966011520572374,0.3471346408662868,-0.08164982221372587,-0.4957392927648277,-0.892693302740347,0.03163945228283136,0.4333446767356514,-0.5301481366024465,-0.24540757828491097,-0.016745510739290946,-0.0351446022594182,-0.4261057070301435,-0.08566385621002055,13.16
Camille,-0.6928391013122029,-0.04805204655369573,0.2102476466843377,-0.33079670292374874,0.17313106296675435,0.07066009856096406,-0.1310751932758799,-0.022059285840541225,-0.24540757828491094,0.4076860978446864,-0.5515700035615285,0.03255784682847051,-0.2637432920247552,13.16
Darius,-0.9100241676066994,-0.36548282878949334,-0.05601650887556876,-0.38129248787333275,-0.3619684531710984,-0.14587695536568035,0.13069251724990835,-0.2900713938241523,-0.24540757828491094,0.041644802838875776,0.09370068832575873,0.09365177497074759,0.0881416731451605,13.16
Fiora,-0.6043156875471196,-0.009956674520593031,0.4054538403025244,-0.43217978107664123,-0.8036604429464747,-0.25016220708079195,0.04264355039274367,0.8807866094845844,2.3404092584574907,-0.16841738246919555,-0.015356680937361061,0.8270149618007065,0.13602332437495646,13.16
Gangplank,-0.5149633351976405,0.581533343558684,-0.434436069326617,-0.22140265815554017,-0.8949438250239939,0.5260348305590804,0.19136901011387725,-0.16906768020191665,-0.245407578284911,-0.3101033511592485,0.448305360906749,0.3391032958348464,-0.21828446877313934,13.16
Garen,-0.8908178408454184,-0.06139925930741332,0.07309379131114885,-0.3776522831894526,-0.8956462869203033,-0.09842523574696327,0.03373903107935272,-0.7695883703994175,-0.24540757828491097,0.16027911100669356,0.45711903692493,0.13671286600201826,0.8558906880613403,13.16
Gnar,-0.47625783613280814,-0.07327888530014699,0.1373669683109193,-0.013196164288609117,0.45822559606662316,-0.1981788936486572,-0.2086505357806371,-0.3035295399874391,-0.245407578284911,0.014806613236821446,0.10107223119836266,-0.05511044826565857,-0.14468446922290404,13.16
Gwen,1.1232358336313413,-0.13930149699876035,-0.19414338315621912,-0.49323177281222963,-0.8971856025829945,-0.2104153487055204,-0.13298371407601944,-0.12768614688906543,-0.24540757828491097,0.038850653348663604,-0.047122866389070685,-0.0065715538983711005,0.27978611641847845,13.16
Illaoi,-0.8461909270364215,0.492258444281098,0.35494079291681513,1.5460262990389093,-0.8971856025829945,-0.3122521090725312,0.2166199605364566,-0.1443925858217226,-0.24540757828491097,0.2677750382103807,0.405798988750684,0.4569522361890599,0.48005429988788495,13.16
Irelia,0.004395725414801833,0.20812090904393524,0.1913200958638573,-0.478139072199937,-0.38961250307087375,0.001252206203668488,0.3887880120519757,0.47610596237115727,-0.24540757828491097,-0.23084870299365495,0.7815577187234485,-0.07037513162911707,-0.05686803254636131,13.16
Jax,0.41609692862734504,0.04220575963627969,0.04271392702004968,-0.30422914743299917,-0.21071109457583556,-0.09507725829382721,0.34111743580855947,-0.2352748051570427,-0.24540757828491097,0.04529237173098591,-0.12492609185456754,0.17949314131736713,0.09069619194857187,13.16
Jayce,-0.3612612700680366,0.44865044881647376,-0.8226913314179516,-0.38671456123656284,-0.45040451794322306,0.2405747439737483,0.03624079428802906,-0.7146192405022851,-0.24540757828491097,-0.28983804871252145,0.3433066763921091,0.24127297759357455,0.037210954502146384,13.16
KSante,-0.5420976158805445,-0.5030065243034787,-0.15956514739621483,2.693157177803374,1.7562706616902453,-0.3155821334670084,-0.19216400760921185,-0.4019356324155362,0.534522332542025,0.0018210781127105348,-0.14245484640860184,-0.19496284134537,-0.10577635719615529,13.16
Kayle,1.1064693911200334,-0.21649277761969618,-0.5172683669379199,-0.2505049900502249,-0.8971856025829945,-0.05572163043647418,-0.16276631971484656,-0.028815063939361684,1.3751226173236235,-0.4387680415481932,0.55450289108477,0.09306008040850278,-0.5137668199086427,13.16
Kennen,1.7397495415939828,-0.10084932777793008,-0.8229903631871005,-0.5179229736174186,-0.09502282830110287,-0.22090681002335893,-0.18910299188299165,-0.49697356517121266,-0.24540757828491097,-0.32405451774383986,-0.3351153996311204,0.012811312694774292,-0.30760706884648986,13.16
Malphite,1.369997677565644,-0.3854124188030334,-0.7654649631367447,1.2938348825067716,-0.5969886734884658,0.09665101161315162,-0.4037035168784434,-0.7174684464314083,-0.21670678649776196,0.04961326864053846,-0.4174313234097773,-0.4934139817862351,-0.4171573970281356,13.16
Maokai,1.8291302811907426,-0.3815256088617298,0.6003431540898505,0.005719679620788719,2.457024961825497,0.4521486205885459,-0.557582240734913,0.7274345920178265,-0.24540757828491097,0.1624048618069994,-0.36244918269165954,-0.5133572778436469,-0.15956682207313544,13.16
Naafiri,-0.9120687080409153,0.5773720638728437,-0.06892152661829003,-0.4500824429307415,-0.8934826247777332,0.022054761854863967,0.34886081117798123,-0.10241773790095413,3.050665371321119,-0.0886130334497471,0.1161662248045666,-0.21826583003316266,-0.012396888331958273,13.16
Nasus,0.13416707200535266,-0.21506345369875574,0.6869979173891763,0.03700802868752572,-0.8846771960030699,-0.08735206777161628,0.059500766587084905,1.0254236510741068,-0.24540757828491097,0.2439514489138035,0.1314078340975548,1.0517433612065779,0.09343317638079833,13.16
