championName,magicDamageDealtToChampions rate,teamDamagePercentage,damageTakenOnTeamPercentage,totalTimeCCDealt per minute,enemyChampionImmobilizations per minute,killParticipation,soloKills per minute,totalHeal per minute,effectiveHealAndShielding per minute,survivedThreeImmobilizesInFight per minute,twentyMinionsIn3SecondsCount per minute,soloTurretsLategame,turretPlatesTaken,version
Aphelios,-0.8052449645876213,-0.054374316959707264,-0.028105031723322165,0.2501880380484608,0.32632746320594386,-0.4145848190487328,0.0685172977400719,0.19943517045083578,-0.5809367690193205,0.07355279035684202,-0.33335287271089303,0.04283734648235578,-0.17782655757146174,13.16
Ashe,-0.467628342366517,-0.34969199904837445,-0.1837885725819241,3.2094536118407206,0.09757858529876284,-0.1297852275843507,-0.15737227229627815,-0.48750438858084866,-0.6105467635983711,-0.05711140588936289,-0.53658356003248,-0.1463442238372342,-0.003681268297040206,13.16
Caitlyn,-0.5872761652176172,-0.14029590405333833,-0.3600347292464406,-0.2379173916025507,0.2894989051530576,-0.05769655053630654,-0.1074499610384129,-0.036478479433613965,-0.054426767516759664,-0.12196766353738131,0.00023775654796554882,-0.04246995460594087,0.5671355786802563,13.16
Draven,-1.0813656324706264,0.23554574887461951,0.14927838585990838,-0.2101341329618572,0.908410762456872,0.1733022822846095,0.0037812138640495687,0.6816133108927832,-0.09314349929765271,0.03818344370482132,-0.0337917293151646,0.1321405384495433,0.056015719893465925,13.16
Ezreal,0.39094283106337474,0.16900922659118758,0.10240108134436833,-0.2154119447101859,-0.6183857365229308,-0.05287038612159231,0.0334857085529584,0.36891503603383485,0.42069655612697754,-0.11487679486618992,0.08034456661943389,0.039986454655880556,0.005647911591356386,13.16
Jhin,-0.6376857214050099,-0.3543731438840068,-0.3538459637200409,0.1078207703798738,0.8133319555470678,0.12683137745504527,-0.06593483325884979,0.17758873293649707,0.09308309889947493,-0.05537294405673073,-0.12998252576392044,-0.26867446313624554,0.07978805433730705,13.16
Jinx,-0.745602449096367,-0.2155425001885352,-0.18528770243593476,-0.1602299444794142,0.1283455693530793,-0.1483283637005727,0.08209624797362466,-0.4003203814222687,-0.5337251697460311,-0.12475499284812261,-0.25823331876228944,0.41150166440232283,-0.21276373822915517,13.16
Kaisa,1.591073820348979,0.05966486060412712,-0.20358536347192446,-0.4258160910431029,-0.6194648899075738,0.04721706974968253,0.10757747298722246,-0.33647985452616386,-0.02062274214037349,0.013210869971070235,0.11053367451615388,-0.13561369992462335,-0.111976084656073,13.16
Lucian,-0.4452835722900643,0.1626237904238001,0.15399806394563892,-0.4565940901257103,-0.6177875611685082,-0.03503546790543709,-0.055834343298597405,-0.0011235980624729669,-0.0012323725656577214,0.1411110349788322,0.03172766332116644,-0.11299946377307062,0.16894354406287826,13.16
MissFortune,-0.8218119295087599,0.09537488438459987,-0.3371956848026097,0.19036234133080654,-0.6191169108683632,0.27684907260681574,-0.006312348274953193,-0.4444597658868981,0.536947532107646,-0.10270971118452378,-0.2624973118620848,0.04164204563701853,-0.048484654711064834,13.16
