championName,magicDamageDealtToChampions rate,teamDamagePercentage,damageTakenOnTeamPercentage,totalTimeCCDealt per minute,enemyChampionImmobilizations per minute,killParticipation,soloKills per minute,totalHeal per minute,effectiveHealAndShielding per minute,survivedThreeImmobilizesInFight per minute,twentyMinionsIn3SecondsCount per minute,soloTurretsLategame,turretPlatesTaken,version
Belveth,-0.7656994216291263,0.020575944142810026,0.034164801254468746,-0.3663915866384169,-0.09782435935179347,-0.03977922826994115,0.27136844568629276,-0.3181671390619593,-0.41844920937816443,0.13846864336780665,0.5173809183504661,0.2642543781240941,0.3003232662511703,13.17
Diana,1.2116730527249255,0.7054901715933632,-0.3452028575470586,-1.068900090843123,-0.4034672609669311,0.3315998059860412,0.8682392743086238,-0.8403391845855553,-0.41844920937816443,-0.06394847222550146,0.2561793364669441,0.09431147633049564,0.1984373979492635,13.17
Ekko,1.1366700249508197,0.21161481775272845,0.20836712447850397,0.15850449850228285,-0.7230472696663811,-0.2198859562995872,0.06012619672695377,-0.08685923888662431,-0.41844920937816443,0.3488440619366633,0.21988401340829836,0.3259652604538741,0.14749446379831008,13.17
Elise,1.2158674409923078,-0.0002624708102945756,-0.4591894440792347,-0.9798736468625783,-0.30136364739566035,-0.15159715191801995,0.020121741893068593,-0.2893023126363365,-0.4184492093781645,-0.14189167778439452,-0.34246701484272946,0.05806917797286795,0.030104224233069635,13.17
Evelynn,1.4672680575591932,0.2854432563424937,-0.3251744626954239,-1.0011890344853906,-0.5763606406490613,-0.1878556678527351,0.5435101441402741,-0.4178513089248973,-0.4184492093781644,0.09458292511253541,-0.4650925272604221,-0.15417876130550595,-0.13574825008099084,13.17
FiddleSticks,1.3450778117362856,-0.2193676849868736,0.11896514995288572,1.8316210676244473,1.2901012286564648,-0.03351804672646236,-0.029131970289487098,0.4561985361241042,-0.41844920937816443,-0.09409915860545323,-0.1246032395313923,-0.17436883719075075,-0.0053343386545501355,13.17
Gragas,1.311181339750415,0.2002627943773256,0.14189723217780448,0.1749219703197122,0.9733407634601433,-0.04828958410654454,-0.1921395113430719,0.12826064757939365,-0.4184492093781645,-0.0149735131420314,-0.11116024069755526,-0.15394192757078165,-0.18938622978057534,13.17
Graves,-0.9498661314635688,0.25494179966553476,-0.7712317684787668,0.38323178830892746,-0.92154235201196,-0.10775680696790485,-0.0505382531076144,-0.5326815042614408,-0.41844920937816443,-0.22184506438582136,1.1106603109556434,0.2905412430066116,0.18748192823938103,13.17
Hecarim,-0.6873434215320607,0.15192095232204714,1.119191920405423,-0.7583537524398783,1.8816579873683794,0.12835846960622296,0.3254105486291414,0.7688139768898727,-0.4184492093781644,0.1229268278554726,0.47365608587245683,0.0017506235343705814,-0.3145052493637846,13.17
JarvanIV,-0.8317954376044829,-0.2467501616072729,0.147362771489151,0.5797080279611677,-0.3153471880632345,0.5912176446125078,-0.15941209493633693,-0.21973478042752398,-0.4184492093781644,0.42506177284228164,-0.17427884810259486,-0.12083263073886424,0.047939317973897874,13.17
